Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Baselink,0.018476,-0.00054779,0.037757,0,0,0,1.3336,0.0023844,-1.0923E-06,-4.7536E-06,0.0037072,-1.2407E-05,0.0056725,0,0,0,0,0,0,package://3DOFTrans/meshes/Baselink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Baselink.STL,,Baseplate2.2.2-1;Baseplate2.2.1-1;Baseplate1.2-1;Baseplate1.2-2;105motormount-2;servoFeetechSTS3095-6;servoFeetechSTS3095-1;105motormount-1;drive_motor_mount_v2 (1)-2;drive_motor_mount_v2 (1)-3;drive_motor_mount_v2 (1)-6;drive_motor_mount_v2 (1)-4;drive_motor_mount_v2 (1)-5;Dockingf-2;Dokingm-1;STS3215_03a v1-1;STS3215_03a v1-2;STS3215_03a v1-7;STS3215_03a v1-8;STS3215_03a v1-9;Hip_105kg-1;Hip_105kg-2,Baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hipleft,-0.00027714,0.0028372,-0.066579,0,0,0,0.31227,0.00025957,4.8887E-07,3.119E-06,0.00016977,-1.0144E-05,0.0001706,0,0,0,0,0,0,package://3DOFTrans/meshes/Hipleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Hipleft.STL,,Hip+twist_105kg-1;servoFeetechSTS3095-2;Twist30kg-1;STS3215_03a v1-3,Hipleft,Lefthip,Hipleft_joint,revolute,0.0003,-0.07965,0.0229,0,0,0,Baselink,0,-1,0,0,0,0,0,,,,,,,,
Kneeleft,-9.0682E-05,0.00032186,-0.085667,0,0,0,0.33239,0.00047372,4.7353E-10,-1.1527E-12,0.00038154,-1.1416E-06,0.00017855,0,0,0,0,0,0,package://3DOFTrans/meshes/Kneeleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Kneeleft.STL,,servoFeetechSTS3095-4;Knee105+30kg-1;STS3215_03a v1-4,Kneeleft,Leftknee,Kneeleft_joint,revolute,0.0001,0.0042,-0.1851,0,0,0,Hipleft,0,-1,0,0,0,0,0,,,,,,,,
Footleft,0.036674,0.00078777,-0.017379,0,0,0,0.21382,0.00012285,-7.5139E-08,-6.5703E-05,0.00025452,-4.9918E-09,0.00027082,0,0,0,0,0,0,package://3DOFTrans/meshes/Footleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Footleft.STL,,Foot30kg-1;Jaw30kg-1;STS3215_03a v1-5,Footleft,Leftfoot,Footleft_joint,revolute,-0.0003,-0.00095,-0.19,0,0,0,Kneeleft,0,-1,0,0,0,0,0,,,,,,,,
Hipright,-0.00027715,-0.0028372,-0.066579,0,0,0,0.31227,0.00025957,-4.8881E-07,3.1191E-06,0.00016977,1.0144E-05,0.0001706,0,0,0,0,0,0,package://3DOFTrans/meshes/Hipright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Hipright.STL,,Hip+twist_105kg(2)-1;servoFeetechSTS3095-5;Twist30kg-2;STS3215_03a v1-10,Hipright,Righthip,Hipright_joint,revolute,0.0003,0.07965,0.0229,0,0,0,Baselink,0,1,0,0,0,0,0,,,,,,,,
Kneeright,9.0682E-05,-0.00067633,-0.085667,0,0,0,0.33239,0.00047372,4.7353E-10,1.1527E-12,0.00038154,1.1416E-06,0.00017855,0,0,0,0,0,0,package://3DOFTrans/meshes/Kneeright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Kneeright.STL,,servoFeetechSTS3095-3;Knee105+30kg-2;STS3215_03a v1-11,Kneeright,Rightknee,Kneeright_joint,revolute,0.0001,-0.0042,-0.1851,0,0,0,Hipright,0,1,0,0,0,0,0,,,,,,,,
Footright,0.036674,-0.00021386,-0.017279,0,0,0,0.21382,0.00012285,-7.514E-08,-6.5703E-05,0.00025452,-4.9915E-09,0.00027082,0,0,0,0,0,0,package://3DOFTrans/meshes/Footright.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://3DOFTrans/meshes/Footright.STL,,Foot30kg-2;Jaw30kg-2;STS3215_03a v1-12,Footright,Rightfoot,Footright_joint,revolute,0.0003,0.00045,-0.19,0,0,0,Kneeright,0,1,0,0,0,0,0,,,,,,,,
